Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
18.06.2018;19:58:01;901395;925864;-2.678;149;24;0;100;
18.06.2018;19:58:02;901392;925854;-2.678;150;24;0;100;1698
18.06.2018;19:58:03;901511;925975;-2.677;150;24;0;100;302
18.06.2018;19:58:04;901456;925926;-2.678;150;24;0;100;-1838
18.06.2018;19:58:05;901384;925852;-2.678;150;24;0;100;11
18.06.2018;19:58:06;901482;925946;-2.678;150;24;0;100;1634
18.06.2018;19:58:07;901401;925862;-2.677;150;24;0;100;197
18.06.2018;19:58:08;901500;925963;-2.677;150;24;0;100;168
18.06.2018;19:58:09;901464;925913;-2.676;150;24;0;100;3196
18.06.2018;19:58:10;901407;925851;-2.676;150;24;0;100;848
18.06.2018;19:58:11;901335;925772;-2.675;150;24;0;100;1239
18.06.2018;19:58:12;901395;925795;-2.671;150;24;0;100;9479
18.06.2018;19:58:13;901332;925735;-2.671;150;24;0;100;-1155
18.06.2018;19:58:14;901393;925794;-2.671;150;24;0;100;896
18.06.2018;19:58:15;901382;925785;-2.671;149;24;0;100;-568
18.06.2018;19:58:16;901393;925792;-2.671;149;24;0;100;1062
18.06.2018;19:58:17;901360;925767;-2.672;149;24;0;100;-2197
18.06.2018;19:58:18;901389;925799;-2.672;149;24;0;100;-547
18.06.2018;19:58:19;901269;925679;-2.672;149;24;0;100;-803
18.06.2018;19:58:20;901343;925755;-2.672;150;24;0;100;1
18.06.2018;19:58:21;901328;925733;-2.672;149;24;0;100;1629
18.06.2018;19:58:22;901382;925790;-2.672;149;24;0;100;-380
18.06.2018;19:58:23;901421;925822;-2.671;149;24;0;100;1990
18.06.2018;19:58:24;901365;925768;-2.671;150;24;0;100;-863
18.06.2018;19:58:25;901372;925778;-2.672;150;24;0;100;-690
18.06.2018;19:58:26;901349;925757;-2.672;150;24;0;100;-644
18.06.2018;19:58:27;901346;925743;-2.671;150;24;0;100;2680
18.06.2018;19:58:28;901343;925747;-2.672;150;24;0;100;-1738
18.06.2018;19:58:29;901386;925790;-2.671;149;24;0;100;288
18.06.2018;19:58:30;901334;925741;-2.672;149;24;0;100;-1089
18.06.2018;19:58:31;901333;925748;-2.673;150;24;0;100;-1970
18.06.2018;19:58:32;901360;925776;-2.673;149;24;0;100;-66
18.06.2018;19:58:33;901387;925801;-2.672;149;24;0;100;675
